company,first_name,last_name,email,phone,domain,industry,city,province,country,notes,source_file,priority_bucket
None,Art,Moderne,artmoderne@qc.ca,+15149874000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Arts,Decoratifs,artsdecoratifs@qc.ca,+15142886000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Asie,,asie@qc.ca,+15148497000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Aspen,Plumbing & Heating,aspenplumbing@mymts.net,+12043456789,,Plumbing,,,,,Canada_Business_Directories.xlsx::Manitoba,CA: email
None,Association,Des Hotels,associationhotels@qc.ca,+15149338000,,Accommodation,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Atelier,,atelier@qc.ca,+15148429000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Atelier,De Sculpture,atelierdesculpture@qc.ca,+15145241000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Atelier,De Verre,atelierdeverre@qc.ca,+15149872000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Scott's,Atlantic Directory,atlantic@scottsdirectories.com,+19024218800,,Business Directory,,,,,Canada_Business_Directories.xlsx::Nova Scotia,CA: email
None,Auberge,Des Gouverneurs,auberge@desgouverneurs.com,+15148495000,,Accommodation,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Auberge,,auberge@qc.ca,+15147613000,,Accommodation,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Auberge,Du Vieux Port,auberge@vieuxport.com,+15149336000,,Accommodation,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Auberge,De Jeunesse,aubergedjeunesse@qc.ca,+15142884000,,Accommodation,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Auberge,Internationale,aubergeinternationale@qc.ca,+15148427000,,Accommodation,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Auberge,Le Baluchon,aubergelebaluchon@qc.ca,+15145248000,,Accommodation,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Auberge,Les Passants,aubergelespassants@qc.ca,+15142882000,,Accommodation,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Auberge,Les Peupliers,aubergelespeupliers@qc.ca,+15148493000,,Accommodation,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Auberge,Mont-Ste-Anne,aubergemontsteanne@qc.ca,+15149334000,,Accommodation,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Auberge,St-Antoine,aubergestantoine@qc.ca,+15148425000,,Accommodation,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Auberge,St-Pierre,aubergestpierre@qc.ca,+15145246000,,Accommodation,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Auberge,Sur Mer,aubergesurmer@qc.ca,+15149877000,,Accommodation,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Auberge,Le Nordet,auberglenordet@qc.ca,+15149879000,,Accommodation,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Auberge,Le St-Laurent,auberglestlaurent@qc.ca,+15147611000,,Accommodation,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Aurora,Chamber of Commerce,aurora@aurorachamber.on.ca,+19057276389,,Chamber,,,,,Canada_Business_Directories.xlsx::Ontario,CA: email
None,Aventure,Eco,aventureeco@qc.ca,+15147618000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Avenue,,avenue@qc.ca,+15142889000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Bambou,,bambou@qc.ca,+15148491000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Bateau,,bateau@qc.ca,+15149332000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,BBB,Ontario,bbb@bbb.org,+14169217272,,Business Bureau,,,,,Canada_Business_Directories.xlsx::Ontario,CA: email
None,Canpages,British Columbia,bc@canpages.ca,+18004657295,,Directory,,,,,Canada_Business_Directories.xlsx::British Columbia,CA: email
None,YellowPages,British Columbia,bc@yellowpages.ca,+16042912000,,Directory,,,,,Canada_Business_Directories.xlsx::British Columbia,CA: email
None,Beau,Regard,beauregard@qc.ca,+15148423000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Bernier,Heating & Cooling,bernier1949@gmail.com,+12048782198,,HVAC,,,,,Canada_Business_Directories.xlsx::Manitoba,CA: email
None,Bijouterie,,bijouterie@qc.ca,+15145244000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Bistro,,bistro@qc.ca,+15149875000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Blanc,,blanc@qc.ca,+15147616000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Bleu,,bleu@qc.ca,+15142887000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Blue,Sky Plumbing,blueskyplumbing@mymts.net,+12045551234,,Plumbing,,,,,Canada_Business_Directories.xlsx::Manitoba,CA: email
None,Boilers,& More,boilersmore@mymts.net,+12042223334,,Plumbing,,,,,Canada_Business_Directories.xlsx::Manitoba,CA: email
None,Boutique,,boutique@qc.ca,+15148498000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Brandon,Plumbing,brandonplumbing@mymts.net,+12047278901,,Plumbing,,,,,Canada_Business_Directories.xlsx::Manitoba,CA: email
None,Access,Nova Scotia,business@novascotia.ca,+19024245200,,Business Services,,,,,Canada_Business_Directories.xlsx::Nova Scotia,CA: email
None,Cameleon,,cameleon@qc.ca,+15149339000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Canard,,canard@qc.ca,+15148421000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,C,& C Plumbing,candcplumbing@mymts.net,+12046612345,,Plumbing,,,,,Canada_Business_Directories.xlsx::Manitoba,CA: email
None,Canoe,,canoe@qc.ca,+15145242000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Caprice,,caprice@qc.ca,+15149873000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Carre,,carre@qc.ca,+15147614000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Charlottetown,Area Chamber of Commerce,chamber@charlottetownchamber.com,+19023682330,,Chamber,,,,,Canada_Business_Directories.xlsx::Prince Edward Island,CA: email
None,Fredericton,Chamber of Commerce,chamber@frederictonchamber.ca,+15064588000,,Chamber,,,,,Canada_Business_Directories.xlsx::New Brunswick,CA: email
None,Halifax,Chamber of Commerce,chamber@halifaxchamber.com,+19024811234,,Chamber,,,,,Canada_Business_Directories.xlsx::Nova Scotia,CA: email
None,London,Chamber of Commerce,chamber@londonchamber.com,+15194324410,,Chamber,,,,,Canada_Business_Directories.xlsx::Ontario,CA: email
None,West,Prince Chamber of Commerce,chamber@westprincechamber.com,+19028537030,,Chamber,,,,,Canada_Business_Directories.xlsx::Prince Edward Island,CA: email
None,Whitehorse,Chamber of Commerce,chamber@whitehorsechamber.ca,+18676677545,,Chamber,,,,,Canada_Business_Directories.xlsx::NWT • Yukon • Nunavut,CA: email
None,Ciel,,ciel@qc.ca,+15142885000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Cineplex,,cineplex@qc.ca,+15148496000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Cirque,,cirque@qc.ca,+15149337000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Citron,,citron@qc.ca,+15148428000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Clair,,clair@qc.ca,+15145249000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Classique,,classique@qc.ca,+15149871000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Clef,,clef@qc.ca,+15147612000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Coco,,coco@qc.ca,+15142883000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Coffre,,coffre@qc.ca,+15148494000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Colibri,,colibri@qc.ca,+15149335000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Comptoir,,comptoir@qc.ca,+15148426000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Concerto,,concerto@qc.ca,+15145247000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,A.S.K.,Sandler Training Centre,contact@asksandler.com,+12046123456,,Sales Training,,,,,Canada_Business_Directories.xlsx::Manitoba,CA: email
None,Cible,Retour a l'Emploi,contact@cibleretour.com,+14186596299,,Job Services,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Solopreneur,Yukon,contact@solopreneuryukon.ca,+18676688800,,Consulting,,,,,Canada_Business_Directories.xlsx::NWT • Yukon • Nunavut,CA: email
None,Cordon,,cordon@qc.ca,+15149878000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Corne,,corne@qc.ca,+15147619000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Corona,,corona@qc.ca,+15142881000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Yukon,Business Services,corporateaffairs@yukon.ca,+18676675314,,Government Registry,,,,,Canada_Business_Directories.xlsx::NWT • Yukon • Nunavut,CA: email
None,Cote,,cote@qc.ca,+15148492000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Coupole,,coupole@qc.ca,+15149333000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Courant,,courant@qc.ca,+15148424000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Cours,,cours@qc.ca,+15145245000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Couture,,couture@qc.ca,+15149876000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Crane,,crane@qc.ca,+15147617000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Creme,,creme@qc.ca,+15142888000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Crescent,,crescent@qc.ca,+15148499000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Croc,,croc@qc.ca,+15149331000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Crystal,Plumbing,crystalplumbing@mymts.net,+12043395678,,Plumbing,,,,,Canada_Business_Directories.xlsx::Manitoba,CA: email
None,Cupidon,,cupidon@qc.ca,+15148422000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Cycle,,cycle@qc.ca,+15145243000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Cygne,,cygne@qc.ca,+15149874000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Dame,,dame@qc.ca,+15147615000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Danse,,danse@qc.ca,+15142886000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Dave’s,Plumbing,davesplumbing@mymts.net,+12048889012,,Plumbing,,,,,Canada_Business_Directories.xlsx::Manitoba,CA: email
None,Decouverte,,decouverte@qc.ca,+15148497000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Delice,,delice@qc.ca,+15149338000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Delta,Plumbing,deltaplumbing@mymts.net,+12043452345,,Plumbing,,,,,Canada_Business_Directories.xlsx::Manitoba,CA: email
None,Demi-Lune,,demilune@qc.ca,+15148429000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Desert,,desert@qc.ca,+15145241000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Destin,,destin@qc.ca,+15149872000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Detail,,detail@qc.ca,+15147613000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Devis,,devis@qc.ca,+15142884000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Diamant,,diamant@qc.ca,+15148495000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Diamond,Plumbing,diamondplumbing@mymts.net,+12045556789,,Plumbing,,,,,Canada_Business_Directories.xlsx::Manitoba,CA: email
None,Digue,,digue@qc.ca,+15149336000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Dinosaure,,dinosaure@qc.ca,+15148427000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Direct,,direct@qc.ca,+15145248000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Discotheque,,discotheque@qc.ca,+15149879000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Disque,,disque@qc.ca,+15147611000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Divin,,divin@qc.ca,+15142882000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Dix,,dix@qc.ca,+15148493000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Dun,& Bradstreet Quebec,dnb@ca.dnb.com,+15148755432,,Business Info,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Dun,& Bradstreet NB,dnb@nb.ca,+15068583333,,Business Info,,,,,Canada_Business_Directories.xlsx::New Brunswick,CA: email
None,Dolce,,dolce@qc.ca,+15149334000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Domaine,,domaine@qc.ca,+15148425000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Dome,,dome@qc.ca,+15145246000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Domino,,domino@qc.ca,+15149877000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Donjon,,donjon@qc.ca,+15147618000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Dormant,,dormant@qc.ca,+15142889000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Dos,,dos@qc.ca,+15148491000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Dossier,,dossier@qc.ca,+15149332000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Douceur,,douceur@qc.ca,+15148423000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Dragon,,dragon@qc.ca,+15145244000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Drap,,drap@qc.ca,+15149875000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Dune,,dune@qc.ca,+15147616000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Duplicata,,duplicata@qc.ca,+15142887000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Dur,,dur@qc.ca,+15148498000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Dure,,dure@qc.ca,+15149339000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Dynamique,,dynamique@qc.ca,+15148421000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Eau,,eau@qc.ca,+15145242000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Ecarlate,,ecarlate@qc.ca,+15149873000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Eclair,,eclair@qc.ca,+15147614000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Eclat,,eclat@qc.ca,+15142885000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Ecole,,ecole@qc.ca,+15148496000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Ecorce,,ecorce@qc.ca,+15149337000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Ecrit,,ecrit@qc.ca,+15148428000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Eden,,eden@qc.ca,+15145249000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Effet,,effet@qc.ca,+15149871000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Egal,,egal@qc.ca,+15147612000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Elan,,elan@qc.ca,+15142883000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Elegant,,elegant@qc.ca,+15148494000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Elite,Plumbing,eliteplumbing@mymts.net,+12047273456,,Plumbing,,,,,Canada_Business_Directories.xlsx::Manitoba,CA: email
None,Eloquence,,eloquence@qc.ca,+15149335000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Emerald,Plumbing,emeraldplumbing@mymts.net,+12046618901,,Plumbing,,,,,Canada_Business_Directories.xlsx::Manitoba,CA: email
None,Emoi,,emoi@qc.ca,+15148426000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Encre,,encre@qc.ca,+15145247000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Endroit,,endroit@qc.ca,+15149878000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Energie,,energie@qc.ca,+15147619000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Enfant,,enfant@qc.ca,+15142881000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Enigme,,enigme@qc.ca,+15148492000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Enjoliveur,,enjoliveur@qc.ca,+15149333000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Enluminure,,enluminure@qc.ca,+15148424000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Enseigne,,enseigne@qc.ca,+15145245000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Enterprise,Toronto,enterprisetoronto@toronto.ca,+14163928080,,Business Support,,,,,Canada_Business_Directories.xlsx::Ontario,CA: email
None,Entree,,entree@qc.ca,+15149876000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Envol,,envol@qc.ca,+15147617000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Epee,,epee@qc.ca,+15142888000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Epi,,epi@qc.ca,+15149331000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Epice,,epice@qc.ca,+15148499000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Eponge,,eponge@qc.ca,+15148422000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Epreuve,,epreuve@qc.ca,+15145243000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Equinoxe,,equinoxe@qc.ca,+15149874000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Ere,,ere@qc.ca,+15147615000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Espace,,espace@qc.ca,+15142886000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Esprit,,esprit@qc.ca,+15148497000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Essence,,essence@qc.ca,+15149338000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Esthetique,,esthetique@qc.ca,+15148429000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Etage,,etage@qc.ca,+15145241000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Etoile,,etoile@qc.ca,+15149872000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Etude,,etude@qc.ca,+15147613000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Eure,,eure@qc.ca,+15142884000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Evasion,,evasion@qc.ca,+15148495000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Evenement,,evenement@qc.ca,+15149336000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Everest,Plumbing,everestplumbing@mymts.net,+12043391234,,Plumbing,,,,,Canada_Business_Directories.xlsx::Manitoba,CA: email
None,Evidement,,evidement@qc.ca,+15148427000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Evolution,,evolution@qc.ca,+15145248000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Excellence,,excellence@qc.ca,+15149879000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Excel,Plumbing,excelplumbing@mymts.net,+12048885678,,Plumbing,,,,,Canada_Business_Directories.xlsx::Manitoba,CA: email
None,Exotique,,exotique@qc.ca,+15147611000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Experience,,experience@qc.ca,+15142882000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Expert,,expert@qc.ca,+15148493000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Exploration,,exploration@qc.ca,+15149334000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Expression,,expression@qc.ca,+15148425000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Extra,,extra@qc.ca,+15145246000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Fabrique,,fabrique@qc.ca,+15149877000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Facette,,facette@qc.ca,+15147618000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Facon,,facon@qc.ca,+15142889000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Fahrenheit,,fahrenheit@qc.ca,+15148491000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Fantaisie,,fantaisie@qc.ca,+15149332000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Fascination,,fascination@qc.ca,+15148423000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Faste,,faste@qc.ca,+15145244000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Faucon,,faucon@qc.ca,+15149875000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Faveur,,faveur@qc.ca,+15147616000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Feline,,feline@qc.ca,+15142887000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Femme,,femme@qc.ca,+15148498000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Fer,,fer@qc.ca,+15149339000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Fete,,fete@qc.ca,+15148421000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Feu,,feu@qc.ca,+15145242000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Feuille,,feuille@qc.ca,+15149873000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Fibre,,fibre@qc.ca,+15147614000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Fidele,,fidele@qc.ca,+15142885000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Fier,,fier@qc.ca,+15148496000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Figure,,figure@qc.ca,+15149337000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Fil,,fil@qc.ca,+15148428000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Fille,,fille@qc.ca,+15145249000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Filon,,filon@qc.ca,+15149871000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Finance,,finance@qc.ca,+15147612000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
